iter	Passed	Remaining
1509	9035	50800
1510	9040	50792
1511	9046	50785
1512	9053	50782
1513	9059	50776
1514	9064	50769
1515	9070	50763
1516	9076	50757
1517	9082	50751
1518	9088	50742
1519	9093	50733
1520	9099	50728
1521	9105	50719
1522	9111	50711
1523	9116	50704
1524	9122	50695
1525	9128	50690
1526	9133	50681
1527	9139	50671
1528	9144	50664
1529	9150	50658
1530	9156	50652
1531	9162	50644
1532	9168	50641
1533	9175	50635
1534	9180	50629
1535	9186	50621
1536	9192	50617
1537	9198	50610
1538	9205	50610
1539	9211	50603
1540	9217	50598
1541	9223	50591
1542	9229	50586
1543	9235	50580
1544	9241	50573
1545	9247	50568
1546	9253	50563
1547	9259	50556
1548	9265	50548
1549	9271	50542
1550	9277	50537
1551	9282	50529
1552	9287	50518
1553	9296	50525
1554	9304	50529
1555	9311	50533
1556	9318	50528
1557	9325	50528
1558	9331	50525
1559	9338	50523
1560	9344	50517
1561	9350	50514
1562	9356	50508
1563	9363	50502
1564	9368	50493
1565	9374	50487
1566	9380	50483
1567	9386	50474
1568	9392	50469
1569	9398	50465
1570	9405	50463
1571	9410	50452
1572	9416	50446
1573	9422	50441
1574	9428	50435
1575	9434	50428
1576	9440	50423
1577	9446	50417
1578	9453	50414
1579	9459	50409
1580	9466	50408
1581	9472	50403
1582	9478	50400
1583	9485	50396
1584	9491	50390
1585	9497	50387
1586	9504	50383
1587	9509	50376
1588	9516	50371
1589	9522	50365
1590	9528	50361
1591	9534	50353
1592	9540	50348
1593	9546	50342
1594	9552	50335
1595	9558	50330
1596	9563	50322
1597	9570	50317
1598	9575	50308
1599	9581	50302
1600	9587	50295
1601	9593	50292
1602	9600	50288
1603	9606	50284
1604	9612	50277
1605	9617	50269
1606	9624	50264
1607	9630	50258
1608	9636	50253
1609	9641	50245
1610	9647	50237
1611	9653	50232
1612	9659	50225
1613	9665	50221
1614	9672	50220
1615	9679	50218
1616	9685	50213
1617	9692	50210
1618	9698	50207
1619	9705	50203
1620	9711	50199
1621	9718	50197
1622	9724	50193
1623	9730	50188
1624	9737	50184
1625	9743	50180
1626	9750	50178
1627	9756	50173
1628	9763	50169
1629	9770	50169
1630	9777	50168
1631	9784	50167
1632	9790	50164
1633	9796	50156
1634	9802	50150
1635	9808	50143
1636	9813	50135
1637	9820	50131
1638	9826	50125
1639	9831	50116
1640	9837	50109
1641	9843	50106
1642	9851	50110
1643	9859	50111
1644	9866	50114
1645	9874	50113
1646	9881	50115
1647	9887	50111
1648	9894	50108
1649	9900	50102
1650	9906	50098
1651	9913	50093
1652	9919	50089
1653	9926	50086
1654	9931	50077
1655	9937	50071
1656	9943	50065
1657	9949	50059
1658	9955	50055
1659	9961	50049
1660	9967	50039
1661	9972	50032
1662	9979	50028
1663	9985	50022
1664	9990	50014
1665	9996	50005
1666	10002	50000
1667	10008	49992
1668	10014	49988
1669	10020	49983
1670	10026	49977
1671	10032	49971
